Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE12_ENERGY (J),CORE12_FREQ (MHZ),CORE12_PSTATE,CORE12_VOLT (V),CORE13_ENERGY (J),CORE13_FREQ (MHZ),CORE13_PSTATE,CORE13_VOLT (V),CORE14_ENERGY (J),CORE14_FREQ (MHZ),CORE14_PSTATE,CORE14_VOLT (V),CORE15_ENERGY (J),CORE15_FREQ (MHZ),CORE15_PSTATE,CORE15_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1716417700025,1532.646713256836,3171.4285714285716,1,0.02499999999999991,778.1158905029297,3185.714285714286,1,0.02499999999999991,809.0065002441406,4460,1,0.02499999999999991,865.8759002685547,3142.8571428571427,1,0.02499999999999991,723.7577514648438,3142.8571428571427,1,0.02499999999999991,854.0505828857422,5500,0,0.02499999999999991,774.1112670898438,3142.8571428571427,1,0.02499999999999991,758.0045318603516,3171.4285714285716,1,0.02499999999999991,664.2246246337891,5550,0,0.02499999999999991,763.9915008544922,3171.4285714285716,1,0.02499999999999991,626.6333160400391,3171.4285714285716,1,0.02499999999999991,780.60791015625,3171.4285714285716,1,0.02499999999999991,627.0088500976563,3171.4285714285716,1,0.02499999999999991,711.6537017822266,3171.4285714285716,1,0.02499999999999991,885.3013610839844,3185.714285714286,1,0.02499999999999991,1081.1745147705078,3185.714285714286,1,0.02499999999999991,313240.67083740234,400,3141,400,4036,400,400,3654,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,3335,5505,400,400,400,4219,3283,400,0,0,0,0,0,0,0,0,0,0,2.6315789222717285,0,0,2.702702760696411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702702760696411,0,66575949824,2147479552,3781890048,262144
199,1716417700026,1532.6469116210938,3285.7142857142853,1,0.08749999999999991,778.1160736083984,5500,0,0.08749999999999991,809.007568359375,5500,0,0.08749999999999991,865.8760986328125,5500,0,0.08749999999999991,723.7579345703125,5500,0,0.08749999999999991,854.0677947998047,5500,0,0.08749999999999991,774.1114501953125,5500,0,0.08749999999999991,758.0047302246094,3285.7142857142853,1,0.08749999999999991,664.2417602539063,5750,0,0.08749999999999991,763.99169921875,3285.7142857142853,1,0.08749999999999991,626.6335144042969,3285.7142857142853,1,0.08749999999999991,780.6081085205078,3285.7142857142853,1,0.08749999999999991,627.0090484619141,3285.7142857142853,1,0.08749999999999991,711.6539154052734,4600,0,0.08749999999999991,885.3017425537109,4460,1,0.08749999999999991,1081.1746978759766,4460,1,0.08749999999999991,313240.78427124023,400,3141,400,4036,400,400,3654,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,3335,5505,400,400,400,4219,3283,400,0,0,0,0,0,0,0,0,0,0,2.6315789222717285,0,0,2.702702760696411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.702702760696411,0,66575949824,2147479552,3782922240,262144
1,1716417700226,1532.6593170166016,3600,1,0.15625,778.1274108886719,3171.4285714285716,1,0.15625,809.5270843505859,5550,0,0.15625,865.8838653564453,3171.4285714285716,1,0.15625,723.7709655761719,3171.4285714285716,1,0.15625,854.1060791015625,5550,0,0.15625,774.1237487792969,3171.4285714285716,1,0.15625,758.0158996582031,3600,1,0.15625,666.4966430664063,3600,1,0.15625,764.0002136230469,3600,1,0.15625,626.6411590576172,3600,1,0.15625,780.6164855957031,3600,1,0.15625,627.0202484130859,3600,1,0.15625,711.6652984619141,3600,1,0.15625,885.3167572021484,3171.4285714285716,1,0.15625,1081.1860809326172,3171.4285714285716,1,0.15625,313250.5852661133,400,3141,400,4036,400,400,3654,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,3335,5505,400,400,400,4219,3283,400,0,0,0,7.407407283782959,0,0,25.925926208496094,0,0,0,0,0,57.142860412597656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66575949824,2147479552,3786428416,262144
